text,sentiment
"В тече́ние пе́рвой полови́ны э́того го́да Комите́т по са́нкциям, учреждённый в соотве́тствии с резолю́цией 1267, продолжа́л вести́ акти́вную, наступа́тельную ли́нию на обеспе́чение эффекти́вности рестриктивных мер, введённых Сове́том Безопа́сности про́тив талибов, «Аль-Каиды» и их соо́бщников.  [А. В. Конузин. Выступление на открытом заседании СБ по вопросу о действии санкций в отношении талибов и «Аль-Каиды» // «Дипломатический вестник», 2004] [disambiguated]",l
"Мы с удовлетворе́нием отмеча́ем подгото́вку Комите́том докла́да с ана́лизом причи́н, по кото́рым це́лый ряд госуда́рств-чле́нов не смог предста́вить Сове́ту Безопа́сности в соотве́тствии с п. 6 резолю́ции 1455 свои́х отчётов о ме́рах по реализа́ции тре́бований санкционного режи́ма.  [А. В. Конузин. Выступление на открытом заседании СБ по вопросу о действии санкций в отношении талибов и «Аль-Каиды» // «Дипломатический вестник», 2004] [disambiguated]",p
"Тако́й диало́г позволя́ет не то́лько ознако́миться на места́х с ситуа́цией в о́бласти реализа́ции соотве́тствующих тре́бований Сове́та, но и дета́льно проговори́ть с заинтересо́ванными прави́тельствами вопро́с о том, с каки́ми практи́ческими тру́дностями они́ ста́лкиваются в проце́ссе выполне́ния таки́х тре́бований.  [А. В. Конузин. Выступление на открытом заседании СБ по вопросу о действии санкций в отношении талибов и «Аль-Каиды» // «Дипломатический вестник», 2004] [disambiguated]",l
"Нельзя́ забыва́ть, что ука́занный спи́сок явля́ется одни́м из наибо́лее эффекти́вных инструме́нтов в борьбе́ Сове́та Безопа́сности с угро́зой междунаро́дному ми́ру и безопа́сности, исходя́щей от террори́зма.  [А. В. Конузин. Выступление на открытом заседании СБ по вопросу о действии санкций в отношении талибов и «Аль-Каиды» // «Дипломатический вестник», 2004] [disambiguated]",p
"Наде́емся, что на осно́ве таки́х оце́нок Сове́т Безопа́сности смо́жет приня́ть дополни́тельные ме́ры к усиле́нию эффекти́вности са́нкций.  [А. В. Конузин. Выступление на открытом заседании СБ по вопросу о действии санкций в отношении талибов и «Аль-Каиды» // «Дипломатический вестник», 2004] [disambiguated]",p
"Вопро́с: В соотве́тствии с неда́вним реше́нием Сове́та Безопа́сности Росси́йская Федера́ция возгла́вила оди́н из вспомога́тельных о́рганов СБ― Контртеррористический комите́т ― на пери́од до нача́ла 2005 го́да.  [А. В. Конузин. Интервью по вопросам КТК // «Дипломатический вестник», 2004] [disambiguated]",l
"И́менно тако́й подхо́д предопредели́л акти́вную и после́довательную пози́цию Росси́и на всех эта́пах созда́ния и разви́тия широ́кой междунаро́дной коали́ции, гла́вным связу́ющим це́нтром кото́рой мы рассма́триваем ОО́Н и её Сове́т Безопа́сности.  [А. В. Конузин. Интервью по вопросам КТК // «Дипломатический вестник», 2004] [disambiguated]",l
"Реше́ние об избра́нии Росси́и Председа́телем Контртеррористического комите́та СБ ОО́Н мы воспринима́ем как ещё одно́ свиде́тельство призна́ния авторите́та и о́пыта на́шей страны́ в реше́нии ключевы́х пробле́м обеспе́чения междунаро́дной безопа́сности, высо́кой оце́нки её реа́льного вкла́да в укрепле́ние соотве́тствующих механи́змов ОО́Н, включа́я и де́ятельность Контртеррористического комите́та.  [А. В. Конузин. Интервью по вопросам КТК // «Дипломатический вестник», 2004] [disambiguated]",l
"Е́сли попыта́ться кра́тко проанализи́ровать тот путь, кото́рый Комите́т прошёл за непо́лные три го́да своего́ существова́ния, сле́дует вы́делить, пожа́луй, не́сколько моме́нтов.  [А. В. Конузин. Интервью по вопросам КТК // «Дипломатический вестник», 2004] [disambiguated]",l
"Во-пе́рвых, благодаря́ конструкти́вному хара́ктеру, открытости и взаимопонима́нию, кото́рыми отме́чена рабо́та КТК со все́ми стра́нами ― чле́нами ОО́Н, Комите́т спосо́бствовал сохране́нию еди́нства и обеспе́чению эффекти́вности междунаро́дной антитеррористической коали́ции.  [А. В. Конузин. Интервью по вопросам КТК // «Дипломатический вестник», 2004] [disambiguated]",l
"И, наконе́ц, Комите́т нала́дил систе́му координа́ции всесторо́ннего техни́ческого соде́йствия стра́нам в де́ле осуществле́ния положе́ний резолю́ции 1373, предпри́нял ва́жные шаги́ по разви́тию сотру́дничества с междунаро́дными, региона́льными и субрегиональными организа́циями для скоордини́рованного противоде́йствия террористи́ческой угро́зе.  [А. В. Конузин. Интервью по вопросам КТК // «Дипломатический вестник», 2004] [disambiguated]",p
"Все э́ти впечатля́ющие, дости́гнутые в преде́льно коро́ткие сро́ки достиже́ния едва́ ли бы́ли бы возмо́жны без энерги́чного, наце́ленного руково́дства и того́ огро́много тво́рческого вкла́да, кото́рый внесли́ в рабо́ту Комите́та его́ пе́рвый председа́тель Дж. Гринсток (Великобритания) и возглавля́вший его́ до после́днего вре́мени И. Ариас (Испа́ния).  [А. В. Конузин. Интервью по вопросам КТК // «Дипломатический вестник», 2004] [disambiguated]",p
"Рассчи́тываем, что Директора́т ста́нет ва́жным инструме́нтом эффекти́вной подде́ржки КТК по выполне́нию зада́ч, определя́емых Сове́том Безопа́сности.  [А. В. Конузин. Интервью по вопросам КТК // «Дипломатический вестник», 2004] [disambiguated]",p
"По су́ти, зада́ча заключа́ется не про́сто в активиза́ции ро́ли э́тих организа́ций по осуществле́нию програ́мм техни́ческой по́мощи, но в созда́нии принципиа́льно но́вых форм и ме́тодов задействования потенциа́ла региона́льных организа́ций на ка́ждом эта́пе э́того проце́сса ― от сбо́ра информа́ции о ну́ждах отде́льных госуда́рств и а́дресной мобилиза́ции средств до́норов до прове́рки эффекти́вности практи́ческой реализа́ции э́тих програ́мм.  [А. В. Конузин. Интервью по вопросам КТК // «Дипломатический вестник», 2004] [disambiguated]",l
"Основно́й акце́нт бу́дет сде́лан на соверше́нствование механи́змов информацио́нного обеспе́чения и обме́на, а та́кже на таки́е но́вые фо́рмы рабо́ты, как организа́ция совме́стных выездны́х ми́ссий в госуда́рства, разуме́ется, с их согла́сия, для сбо́ра информа́ции о конкре́тных ну́ждах стран, эффекти́вности уже́ предоста́вленной им по́мощи.  [А. В. Конузин. Интервью по вопросам КТК // «Дипломатический вестник», 2004] [disambiguated]",l
"Э́та организа́ция, по приме́ру колле́гий адвока́тов, ста́вит цель собра́ть под своё крыло́ ИТ-специали́стов, гото́вых ока́зывать ауди́торские, консалтинговые, экспе́ртные и ины́е услу́ги заинтересо́ванным в них организа́циям.  [Павел Куприянов. Адвокат клиента // «Computerworld», 2004] [disambiguated]",l
"""Существу́ют ситуа́ции, в кото́рых изнача́льно зало́жен потенциа́льный конфли́кт интере́сов, и э́та эксперти́за не мо́жет быть при́знана незави́симой"", ― заяви́л оди́н из учреди́телей и председа́тель сове́та директоро́в ли́ги Серге́й Карелов.  [Павел Куприянов. Адвокат клиента // «Computerworld», 2004] [disambiguated]",l
"Все они́ при оказа́нии консалтинговых услу́г так и́ли ина́че вступа́ют в конфли́кт интере́сов, в кото́ром с одно́й стороны́ нахо́дится клие́нт, а с друго́й ― работода́тель, будь то производи́тель програ́ммного обеспе́чения и́ли систе́мный интегра́тор.  [Павел Куприянов. Адвокат клиента // «Computerworld», 2004] [disambiguated]",l
"Челове́к абсолю́тно незави́симый, как пра́вило, неквалифици́рованный, потому́ что действи́тельно квалифици́рованным мо́жет быть то́лько тот, кто нахо́дится в горни́ле би́знеса, ― полага́ет друго́й учреди́тель ли́ги Михаи́л Донской.  [Павел Куприянов. Адвокат клиента // «Computerworld», 2004] [disambiguated]",l
"Та́кже обсуди́ли возмо́жную програ́мму его́ рабо́ты, включа́я фо́рмы дальне́йшего сотру́дничества.  [С. В. Лавров. Встреча министров иностранных дел прикаспийских государств. Выступление на пресс-конференции по итогам встречи // «Дипломатический вестник», 2004] [disambiguated]",l
"Над тем, как зада́ча бу́дет конкре́тно воплоща́ться в жизнь, бу́дут рабо́тать и министе́рства иностра́нных дел, и соотве́тствующие ве́домства.  [С. В. Лавров. Встреча министров иностранных дел прикаспийских государств. Выступление на пресс-конференции по итогам встречи // «Дипломатический вестник», 2004] [disambiguated]",l
"Могу́ доба́вить, что в хо́де на́шей двусторонней встре́чи с мини́стром иностра́нных дел Ирана э́ти вопро́сы обсужда́лись примени́тельно к вое́нной составляющей де́йствий прикаспи́йских госуда́рств и неприкаспийских госуда́рств на Каспии.  [С. В. Лавров. Встреча министров иностранных дел прикаспийских государств. Выступление на пресс-конференции по итогам встречи // «Дипломатический вестник», 2004] [disambiguated]",l
"Вопро́с: Каки́е ещё вопро́сы обсужда́лись в хо́де Ва́шей двусторонней встре́чи с мини́стром иностра́нных дел Ирана?  [С. В. Лавров. Встреча министров иностранных дел прикаспийских государств. Выступление на пресс-конференции по итогам встречи // «Дипломатический вестник», 2004] [disambiguated]",l
"Отве́т: В хо́де двусторонней встре́чи с мини́стром иностра́нных дел Ирана обсуди́ли все направле́ния двустороннего сотру́дничества, как в торгово-экономической сфе́ре в разви́тие договорённости, дости́гнутой ме́жду на́шими президе́нтами, так и в сфе́ре взаимоде́йствия министе́рств иностра́нных дел двух госуда́рств, пре́жде всего́, по проблема́тике региона́льных конфли́ктов в райо́нах, сопреде́льных Ирану и Росси́и.  [С. В. Лавров. Встреча министров иностранных дел прикаспийских государств. Выступление на пресс-конференции по итогам встречи // «Дипломатический вестник», 2004] [disambiguated]",l
"Вопро́с: Каки́е шаги́ предпринима́ет Росси́я в де́ле урегули́рования отноше́ний ме́жду Азербайджаном и Арменией?  [С. В. Лавров. Встреча министров иностранных дел прикаспийских государств. Выступление на пресс-конференции по итогам встречи // «Дипломатический вестник», 2004] [disambiguated]",l
"Осо́бо хоте́л бы обрати́ться со слова́ми приве́тствия к мини́стру иностра́нных дел Габонской Респу́блики.  [С. В. Лавров. Выступление на приеме в честь празднования Дня Африки // «Дипломатический вестник», 2004] [disambiguated]",p
"Хоте́л бы серде́чно поздра́вить всех прису́тствующих с Днём А́фрики ― пра́здником, кото́рый традицио́нно воспринима́ется в Росси́и как си́мвол дру́жбы ме́жду росси́йским и африка́нскими наро́дами, и пожела́ть в ва́шем лице́ всем госуда́рствам регио́на ми́ра процвета́ния и дальне́йших успе́хов на пути́ общественно-политических и экономи́ческих преобразова́ний.  [С. В. Лавров. Выступление на приеме в честь празднования Дня Африки // «Дипломатический вестник», 2004] [disambiguated]",p
"В Росси́и приве́тствуют повыше́ние ро́ли африка́нских госуда́рств в мирово́й поли́тике, их уси́лия по урегули́рованию остаю́щихся на контине́нте региона́льных конфли́ктов, их стремле́ние к социально-экономическому разви́тию, утвержде́нию прав челове́ка и демокра́тии.  [С. В. Лавров. Выступление на приеме в честь празднования Дня Африки // «Дипломатический вестник», 2004] [disambiguated]",p
"Символи́чно, что на́ша сего́дняшняя встре́ча прохо́дит накану́не церемо́нии инаугура́ции Сове́та ми́ра и безопа́сности Африка́нского сою́за, кото́рый при́зван стать ва́жным фа́ктором стаби́льности и усто́йчивого разви́тия на контине́нте.  [С. В. Лавров. Выступление на приеме в честь празднования Дня Африки // «Дипломатический вестник», 2004] [disambiguated]",l
"Росси́я в ра́мках Пари́жского клу́ба ока́зывает серьёзную по́мощь африка́нским стра́нам в де́ле сокраще́ния бре́мени их задо́лженности, развива́ет торгово-экономические свя́зи с госуда́рствами контине́нта, хотя́ здесь ещё предстои́т нара́щивать уси́лия и ока́зывать соде́йствие в подгото́вке ка́дров по многочи́сленным гражда́нским специа́льностям.  [С. В. Лавров. Выступление на приеме в честь празднования Дня Африки // «Дипломатический вестник», 2004] [disambiguated]",l
"Успе́шно развива́ется полити́ческий диало́г Росси́и с африка́нскими госуда́рствами в ви́де конта́ктов на разли́чных у́ровнях и интенси́вных консульта́ций ме́жду министе́рствами иностра́нных дел, в хо́де кото́рых выявля́ется бли́зость на́ших подхо́дов к основны́м междунаро́дным пробле́мам.  [С. В. Лавров. Выступление на приеме в честь празднования Дня Африки // «Дипломатический вестник», 2004] [disambiguated]",p
"Ва́ша рабо́та в Москве́ вно́сит ва́жный вклад в достиже́ние це́лей на́шего сотру́дничества, в разви́тие полити́ческих, экономи́ческих, культу́рных и ины́х свя́зей.  [С. В. Лавров. Выступление на приеме в честь празднования Дня Африки // «Дипломатический вестник», 2004] [disambiguated]",p
"В э́той рабо́те вы всегда́ мо́жете рассчи́тывать на подде́ржку Министе́рства иностра́нных дел и други́х росси́йских структу́р.  [С. В. Лавров. Выступление на приеме в честь празднования Дня Африки // «Дипломатический вестник», 2004] [disambiguated]",l
"Всего́ вам са́мого до́брого, успе́хов в рабо́те на бла́го наро́дов ва́ших стран, на бла́го российско-африканской дру́жбы и сотру́дничества.  [С. В. Лавров. Выступление на приеме в честь празднования Дня Африки // «Дипломатический вестник», 2004] [disambiguated]",p
"Хоте́л бы, пре́жде всего́, вы́разить призна́тельность замести́телю Премьер-мини́стра, мини́стру иностра́нных дел Туре́цкой Респу́блики господи́ну А. Гюлю за приглаше́ние приня́ть уча́стие в ва́шем высо́ком фо́руме.  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [disambiguated]",p
"В осно́ве э́того лежи́т о́бщее стремле́ние на́ших госуда́рств развива́ть конструкти́вный диало́г по ключевы́м пробле́мам совреме́нности, совме́стно иска́ть пути́ их реше́ния на справедли́вой, коллекти́вной осно́ве.  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [disambiguated]",p
"Э́то в по́лной ме́ре отно́сится к глоба́льным и региона́льным пробле́мам, включённым в пове́стку дня 31-й се́ссии мини́стров иностра́нных дел ОИК, по большинству́ кото́рых мы гото́вы к предме́тному взаимоде́йствию на осно́ве соотве́тствующих реше́ний ОО́Н, норм и при́нципов междунаро́дного пра́ва.  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [disambiguated]",l
"Неда́вние перегово́ры в Москве́ с делега́цией ОИК во главе́ с мини́стром иностра́нных дел Малайзии господи́ном Албаром подтверди́ли бли́зость и́ли совпаде́ние на́ших пози́ций по широ́кому кру́гу междунаро́дных и региона́льных вопро́сов.  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [disambiguated]",l
"В ча́стности, мы вновь констати́ровали, что справедли́вый и про́чный мир на Бли́жнем Восто́ке, реализа́ция национа́льных ча́яний палестинского наро́да возмо́жны лишь при урегули́ровании арабо-израильского конфли́кта в соотве́тствии с резолю́циями 242, 338, 1397 и 1515 Сове́та Безопа́сности ОО́Н и Мадридскими при́нципами.  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [disambiguated]",l
"Реа́льный путь к тако́му урегули́рованию ука́зывает одо́бренная обе́ими сторона́ми конфли́кта и всем междунаро́дным соо́бществом «доро́жная ка́рта».  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [disambiguated]",l
"Э́тому спосо́бствовал бы созы́в междунаро́дной конфере́нции и́ли встре́чи по Ираку, в по́льзу чего́ вы́сказался Сове́т Безопа́сности ОО́Н в единогла́сно при́нятой резолю́ции 1546.  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [disambiguated]",l
"Террори́зм несёт угро́зу жи́зни и права́м челове́ка, пыта́ется спровоци́ровать ха́о́с, дестабилизировать госуда́рства и це́лые регио́ны.  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [disambiguated]",n
"Очеви́дно, что э́тот террористи́ческий акт пресле́довал цель сорва́ть набира́ющий си́лу ми́рный проце́сс, дезорганизова́ть рабо́ту конституцио́нных о́рганов вла́сти Чече́нской Респу́блики, кото́рые бы́ли и́збраны в хо́де демократи́ческих вы́боров с уча́стием междунаро́дных наблюда́телей, в том числе́ от Организа́ции Исла́мская конфере́нция.  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [disambiguated]",n
"Мы заинтересо́ваны в практи́ческом взаимоде́йствии с госуда́рствами ― чле́нами ОИК в де́ле возрожде́ния наро́дного хозя́йства, культу́ры, образова́ния и други́х сфер жи́зни Чече́нской Респу́блики.  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [disambiguated]",p
"Вопро́с: Про́сьба прокомменти́ровать пригово́р катарского суда́ по де́лу двух росси́йских гра́ждан.  [С. В. Лавров. Ответ на вопрос СМИ в связи с решением катарского суда в отношении двух российских граждан 30 июня // «Дипломатический вестник», 2004] [disambiguated]",l
"Статья́ мини́стра иностра́нных дел Росси́йской Федера́ции С. В. Лаврова в газе́тах «Коммерса́нт» и «Уолл-стрит джорнал»   [С. В. Лавров. Статья в газетах «Коммерсант» и «Уолл-стрит джорнал» // «Дипломатический вестник», 2004] [disambiguated]",l
"Соверше́нно очеви́дно, что все э́ти це́ли мо́гут быть дости́гнуты то́лько на путя́х дальне́йшей интегра́ции Росси́и в мирову́ю эконо́мику и продолже́ния многовекторной поли́тики, напра́вленной на разви́тие взаимовы́годных свя́зей с сосе́дями по СНГ, Европе́йским сою́зом, США, Китаем, Индией, Японией, стра́нами А́зии, Лати́нской Аме́рики и други́х регио́нов.  [С. В. Лавров. Статья в газетах «Коммерсант» и «Уолл-стрит джорнал» // «Дипломатический вестник», 2004] [disambiguated]",l
"У нас есть реа́льный о́пыт защи́ты национа́льных интере́сов Росси́и, не ска́тываясь к агресси́вным ме́тодам и конфронтации.  [С. В. Лавров. Статья в газетах «Коммерсант» и «Уолл-стрит джорнал» // «Дипломатический вестник», 2004] [disambiguated]",l
"В совреме́нном ми́ре, с учётом хара́ктера существу́ющих угро́з, она́ мо́жет быть обеспе́чена то́лько на путя́х объедине́ния уси́лий всех цивилизо́ванных стран.  [С. В. Лавров. Статья в газетах «Коммерсант» и «Уолл-стрит джорнал» // «Дипломатический вестник», 2004] [disambiguated]",l
"Неда́вние траги́ческие собы́тия в Мадриде вновь напо́мнили о том, что сего́дня же́ртвой террористи́ческого нападе́ния мо́жет стать люба́я страна́ и по существу́ любо́й челове́к на земле́.  [С. В. Лавров. Статья в газетах «Коммерсант» и «Уолл-стрит джорнал» // «Дипломатический вестник», 2004] [disambiguated]",l
"Пока́ внима́ние и си́лы мирово́го соо́бщества бы́ли отвлечены́ на ира́кский кри́зис, террористи́ческие структу́ры получи́ли переды́шку и возмо́жность перегруппирова́ть свои́ си́лы, наме́тить но́вые це́ли для свои́х ата́к  [С. В. Лавров. Статья в газетах «Коммерсант» и «Уолл-стрит джорнал» // «Дипломатический вестник», 2004] [disambiguated]",l
"Пока́ внима́ние и си́лы мирово́го соо́бщества бы́ли отвлечены́ на ира́кский кри́зис, террористи́ческие структу́ры получи́ли переды́шку и возмо́жность перегруппирова́ть свои́ си́лы, наме́тить но́вые це́ли для свои́х ата́к   Друго́й траги́ческий приме́р ― ситуа́ция в Косово.  Неда́вние этни́ческие чи́стки, ста́вшие результа́том попусти́тельства алба́нским экстреми́стам, грозя́т перечеркну́ть многоле́тние уси́лия мирово́го соо́бщества по укрепле́нию ми́ра на Балканах.  [С. В. Лавров. Статья в газетах «Коммерсант» и «Уолл-стрит джорнал» // «Дипломатический вестник», 2004] [disambiguated]",n
"Собы́тия после́днего вре́мени пока́зывают, каку́ю це́ну прихо́дится плати́ть всему́ мирово́му соо́бществу за односторонние де́йствия, не подкреплённые са́нкцией Сове́та Безопа́сности ОО́Н.  [С. В. Лавров. Статья в газетах «Коммерсант» и «Уолл-стрит джорнал» // «Дипломатический вестник», 2004] [disambiguated]",l
"Мы та́кже настро́ены на продолже́ние совме́стных уси́лий в ра́мках четвёрки междунаро́дных посре́дников в де́ле палестино-израильского урегули́рования на осно́ве «доро́жной ка́рты».  [С. В. Лавров. Статья в газетах «Коммерсант» и «Уолл-стрит джорнал» // «Дипломатический вестник», 2004] [disambiguated]",l
"Приме́ром мо́жет служи́ть ситуа́ция на простра́нстве бы́вшего СССР.  [С. В. Лавров. Статья в газетах «Коммерсант» и «Уолл-стрит джорнал» // «Дипломатический вестник», 2004] [disambiguated]",l
"ИТАР-ТАСС председа́тель объединённого сове́та Моско́вского комите́та ветера́нов войны́ Бори́с Гормылев ""в Москве́ насчи́тываются 11 тыс фронтовико́в-гварде́йцев, для кото́рых э́то зва́ние ста́ло си́мволом призна́ния му́жества, герои́зма, сто́йкости и пре́данности Оте́честву"".  [Сергей Останин. Отмечается 63-я годовщина рождения советской гвардии (2004) // ИТАР-ТАСС, 2004.09.18] [disambiguated]",p
"Но де́ло да́же не в деклара́циях, догово́ра́х, каки́х бы то ни бы́ло соглаше́ниях, кото́рых у нас доста́точно и кото́рые действи́тельно составля́ют ба́зу на́ших отноше́ний в правово́м пла́не.  [В. В. Путин. Вступительное слово в ходе российско-египетских переговоров в расширенном составе // «Дипломатический вестник», 2004] [disambiguated]",l
"Де́ло в друго́м ― в истори́ческих корня́х на́ших отноше́ний, кото́рые явля́ются реа́льной ба́зой на́шего взаимоде́йствия на протяже́нии мно́гих десятиле́тий.  [В. В. Путин. Вступительное слово в ходе российско-египетских переговоров в расширенном составе // «Дипломатический вестник», 2004] [disambiguated]",l
"И, коне́чно, мы о́чень наде́емся на то, что на́ше взаимоде́йствие бу́дет эффекти́вным и пойдёт на по́льзу в де́ле урегули́рования конфли́ктов, и пре́жде всего́ ― в де́ле ближневосто́чного урегули́рования.  [В. В. Путин. Вступительное слово в ходе российско-египетских переговоров в расширенном составе // «Дипломатический вестник», 2004] [disambiguated]",p
"Я с интере́сом посмотре́л совсе́м све́жие ци́фры, и э́то доста́точно неплохо́й объём в абсолю́тных величи́нах.  [В. В. Путин. Вступительное слово на встрече с И.А. Каримовым // «Дипломатический вестник», 2004] [disambiguated]",p
"Изве́стно, что в Узбекистан пришли́ таки́е продово́льственные гига́нты, как «Вим Билль Дан» и «Черкизовский».  [В. В. Путин. Выступление встречи с И.А. Каримовым // «Дипломатический вестник», 2004] [disambiguated]",l
