text,sentiment,id,transformed
"Жаль, его сын Николай оказался не достоин отца.  [коллективный. Форум: Смольный хочет поговорить о месте Александра III (2012)] [not disambiguated]",p,3246,"Только в этом случае, NDR будут большие перспективы парламентских выборов. Таким образом, мы пойдем другим путем. Мы сами сделать идеологию, стратегию кампании, и только потом проводить конкурсы среди производителей."
"Возьмём для приме́ра автомоби́ль ""Жигули"", девя́тую моде́ль.  [Максим Блант. Система ценностей и ценность системы (2003) // «Еженедельный журнал», 2003.04.01] [disambiguated]",l,264,"Возьмите для образца автомобиль «Ladaa», шесть моделей."
"Стра́шная тишина́ ца́рствовала в за́лах дворца́, напо́лненных людьми́, кото́рых пра́здничный наря́д ещё увели́чивал ужасное.  [В. А. Жуковский. Письмо к А.И.Тургеневу (1825)] [disambiguated]",n,3703,"Ужасная тишина княжил в залах дворца, а, праздничный наряд еще более ужасное."
"Царь, как человекглубоко верующий, желал найти примирение со своими жертвами перед Богом и был заинтересован в точности сведений.  [коллективный. Форум: Иоанн Грозный (2012)] [not disambiguated]",p,3104,"«В президента Ельцина, мы провели на наших молотками», - с гордостью сказать вам шахтеров."
"Мы с удовлетворе́нием отмеча́ем подгото́вку Комите́том докла́да с ана́лизом причи́н, по кото́рым це́лый ряд госуда́рств-чле́нов не смог предста́вить Сове́ту Безопа́сности в соотве́тствии с п. 6 резолю́ции 1455 свои́х отчётов о ме́рах по реализа́ции тре́бований санкционного режи́ма.  [А. В. Конузин. Выступление на открытом заседании СБ по вопросу о действии санкций в отношении талибов и «Аль-Каиды» // «Дипломатический вестник», 2004] [disambiguated]",p,12,"У нас с удовлетворением отмечаем подготовку пробный доклад с анализом причин, то целый ряд государств-членов не смог представить Совету Безопасности в соответствии с 6 резолюциями 301 своих отчетов о мерах по реализации требований санкционного режима
"
"А потому́ сто́йкая неприя́знь к мэ́ру, кото́рую президе́нтское окруже́ние пыта́лось спря́тать на вре́мя ""о́ттепели"", дала́ о себе́ знать в по́лную си́лу.  [Игорь Клочков. Лужков в семейном окружении // «Коммерсантъ-Власть», 1999] [disambiguated]",n,2082,Поэтому неустанная ненависть президента окружающей среды приходилось скрывать во времена «мира» интенсивно ощущается само по себе.
"Де́ло в том, что в но́вом федера́льном зако́не о лицензировании (он уже́ при́нят и де́йствует) сфе́ру теле- и радиолицензирования прописа́ть забы́ли.  [Наталья Ратиани. Телевидения Минпечати не видать (2002) // «Известия», 2002.10.03] [disambiguated]",l,1625,"Дело в том, что в новом ассоциативном законе о лицензировании (он уже принят и действует) область регистрации лицензий на ТВ и радио была забыта."
"Тут и общественная польза имеется: каждый раз, как заходит речь о введении единой школьной формы, быстро отыщется государственный человек, умом попроще, и приведет, как ему кажется, неопровержимый аргумент: введение единой для всех одежки сгладит социальное неравенство.  [Евгения Пищикова. Форма // «Русская жизнь», 2012] [not disambiguated]",n,2757,"Вот и благо общества : каждый раз, как мы говорим об униформу школьная форма, человек очень быстро найти себя, не проще, и, как кажется, непреодолимое : введение едиными для всех одежда сгладить социального неравенства."
"Элемента́рная арифме́тика пока́зывает, что в э́той ситуа́ции США практи́чески нереа́льно получи́ть необходи́мое большинство́ в Сове́те Безопа́сности для одобре́ния но́вой резолю́ции, над те́кстом кото́рой сейча́с рабо́тают в занесённом сне́гом Нью-Йо́рке представи́тели США и Великобрита́нии.  [Евгений Артемов. Женщина знает, когда начнется война. Буш рассказал президенту Латвии о своих планах (2003) // «Известия», 2003.02.18] [disambiguated]",n,231,"Начальная арифметика показывает, что в этой ситуации, для Соединенных Штатов, чтобы получить необходимое большинство в Совете Безопасности для одобрения новой резолюции, над которыми у Соединенных Штатов и Великобритании в настоящее время не работает на snow-covered Нью-Йорке."
"Что же де́лается, что́бы лю́дям жи́лось по-людски́?  [Б. Варецкий. Стыдные уроки барства. Власть и бедность (2003) // «Советская Россия», 2003.08.21] [disambiguated]",l,284,Это законодатель местный потоп взял и напился до состояния постоянной благости.
"Зате́м Минфин подведёт ито́ги ко́нкурса, и хорошо́, е́сли имена́ победи́телей среди́ НУК ста́нут изве́стны в нача́ле сентября́.  [Оксана Карпова. Юрьев день для будущих пенсионеров (2003) // «Время МН», 2003.07.25] [disambiguated]",p,472,"и Министерство финансов будет подвести итог результатов конкурса, и хорошо если имена победителей из NUSs будут известны в начале сентября."
"Как обы́чно, межнациона́льные конфли́кты сопровожда́ются разгу́лом вражды́ и не́нависти: горя́т дома́, льётся кровь.  Деся́тки, со́тни ты́сяч люде́й стано́вятся бе́женцами…   Таковы́е и после́дствия осетино-ингушского конфли́кта, произоше́дшего о́сенью 1992 го́да…  [За мир нужно бороться (2003) // «Жизнь национальностей», 2003.06.18] [disambiguated]",n,1272,"Как обычно, межэтнические конфликты сопровождаются взрывом восстания и вражды: дома горят, кровь льется. Десятки, сотни тысяч людей становятся беженцами ... Это последствия осетино-ингушского конфликта, которые произошли осенью 1992 года …"
"Мы исходи́ли ― по кра́йней ме́ре таку́ю ли́нию прово́дят не́которые СМИ в стране́ и да́же отча́сти на За́паде ― из того́, что Росси́я уве́ренно вы́шла на путь строи́тельства гражда́нского, правово́го, демократи́ческого госуда́рства, в кото́ром существу́ют все необходи́мые элеме́нты гражда́нского о́бщества, ры́ночной эконо́мики, защи́ты прав и свобо́д гра́ждан.  [Семен Шацкой. Лакмусовая бумага для нашей действительности (2003) // «Время МН», 2003.07.31] [disambiguated]",p,1136,"Мы смогли подтвердить в своей прессе, что Россия была уверена на пути принять все элементы, необходимые для либеральной экономической системы и построить демократическую нацию."
"У кого́ взгля́ды совпада́ют, они́ давно́ сплоти́лись, окре́пли в её ряда́х и действи́тельно навсегда́ ста́ли надёжнойопо́рой па́ртии.  [Б. Я. Каштанова. На другом берегу (2003) // «Советская Россия», 2003.08.23] [disambiguated]",p,500,"- мнения совпадают, они давно вместе, укрепили в своих рядах и был надежным вечеринку для всех время"
"Жела́ние де́лать добро́ тем бо́лее в нас умножа́ется, чем бо́лее зна́ем и чу́вствуем си́лу побуди́тельных к тому́ причи́н и изя́щность доброде́тели: от чего́ происхо́дит неизве́стное не́которое вну́треннее удово́льствие, пе́рвый плод, пе́рвое воздая́ние доброде́тели.  [неизвестный. [«Нравоучение как практическое наставление»] (1780)] [disambiguated]",p,3738,"Мы надеемся, что валюта это великая вещь, есть соответствующие структуры, а не было бы извлечь из кошельков населения, что чревато большими задержками."
"Вчера́ ста́ло изве́стно ещё об одно́й успе́шной опера́ции федера́льных сил.  [Мария Белоклокова, Александр Чуйков. Облава продолжается. Федералам, возможно, удалось взять Хаттаба (2001) // «Известия», 2001.06.26] [disambiguated]",p,1932,"Несмотря на заявления заместителя премьер-министра, что бюджет закладывали bestoutlook, я считаю, что на самом деле проект имеет даже подстраховка."
"Ленинский районный суд Кирова не начал рассматривать дело о многомиллионных хищениях в компании «Кировлес», организованных, по версии следствия, Алексеем Навальным.  [коллективный. Форум: Навальный. Сказки кировского леса (2012)] [not disambiguated]",n,3147,"районный суд Кирова не стал рассматривать дело многомиллионных хищенийх в Кировлес », организованный для расследования, Алексис Навальным."
"Непонятно, в каких именно сферах были совершены те правонарушения, за которые людям удалось избежать наказания, сожалеет эксперт Независимого экспертного правового совета Игорь Пастухов.  [Иван Петров. МВД мешают работать непрофессионализм следователей и либерализация УК (2011.03.23) // http://www.rbcdaily.ru/2011/03/23/focus/562949979916538.shtml, 2011] [not disambiguated]",n,3493,"Неясно, кто может избежать наказания."
"Как вы́яснилось, лу́чше всего́ обстоя́т дела́ в Самарской и Свердловской областя́х, Красноярском кра́е и Таймырском, Не́нецком и Чуко́тском АО.  [Магомет Яндиев. Где на Руси жить хорошо (2003) // «Время МН», 2003.07.30] [disambiguated]",l,1167,"Когда была раскрыта вся информация, в Самаре, Свердловской, Красноярской, Таймырской, Ненецком и Чукотском автономных округах были специальности."
"Но а́вторы законопрое́кта реши́ли оста́вить пре́жний, категориа́льный поря́док распределе́ния льгот"", ― заме́тил Бори́с Надеждин в интервью́ ""Журна́лу"".  [Игорь Пылаев. Политический капремонт (2003) // «Еженедельный журнал», 2003.03.24] [disambiguated]",l,823,Однако авторы предложений предложили оставить заказ по категориям распределения прибыли прямо сейчас.
"Сто́имость расхо́дов на одного́ челове́ка умножа́ем на э́то коли́чество, и получа́ется необходи́мая су́мма.  [Оксана Карпова. Александр Починок: Концепция льготного государства бессмысленна (2003) // «Время МН», 2003.07.31] [disambiguated]",l,457,Стоимость на одного человека умножается на эту сумму и получает необходимую сумму.
"Вчера в Госдуме на заседании Высшего совета партия оценивала работу региональных лидеров.  [Ольга Жермелева. Партия власти нашла «слабое звено» (2011.03.23) // http://www.rbcdaily.ru/2011/03/23/focus/562949979916555.shtml, 2011] [not disambiguated]",p,3458,Вчера в Государственной Думе на заседании Верховного Совета партия оценила работу региональных лидеров.
"Мы ми́рныелю́ди, а не банди́ты! ― наперебо́й закрича́ли они́.  [Елена Самойлова. «Любого мента поколотить могу!» // «Коммерсантъ-Власть», 2002] [disambiguated]",p,1654,"Мы не абсолютная сила. «Мы любим мир», - громко закричали они."
"Но Салманов― эли́тный пенсионе́р и геро́й труда́ (он и мини́стром успе́л побы́ть).  [Рустам Арифджанов. Москва азербайджанская (1997) // «Столица», 1997.04.15] [disambiguated]",p,2203,"Она стремилась к большим идеалам и все, и можно было бы пренебречь на своем пути etoyu малой величины."
"Аристотель справедли́во сказа́л, весьма́ вредно, что возвыша́ют челове́ка вы́ше челове́ческого соверше́нства.  [Н. И. Новиков. О добродетели (1775)] [disambiguated]",p,3781,"В конце концов, единственное, что интернет-компания средства были потрачены хорошо, - продвижение бренда, создавая маяк помеченный для «чайника» в непроходимых дебрях Интернета."
"18 ма́я в Москве́ состоя́лись очередны́е консульта́ции замести́телей мини́стров иностра́нных дел, оборо́ны и замести́телей секретаре́й сове́тов безопа́сности госуда́рств― чле́нов Организа́ции До́гово́ра о коллекти́вной безопа́сности.  [Содружество Независимых Государств // «Дипломатический вестник», 2004] [disambiguated]",l,208,"По Фомичева, «если у вас есть, чтобы привлечь общественность, местные органы власти должны надлежащим образом найти решения финансовых вопросов, так что люди заинтересованы в работе.»"
"По прогно́зам Верхо́вного суда́, то́лько в э́том году́ в ро́ли прися́жных вы́ступят миллио́н челове́к, большинство́ из кото́рых себе́ да́же не представля́ют, в чём, со́бственно, заключа́ется роль прися́жного заседа́теля.  [Лед тронулся (2003) // «Газета», 2003.07.02] [disambiguated]",l,1304,"По мнению Верховного суда, роль жюри в этом году будет кумулятивной до 1 миллиона, но большинство из них не представляют себя. Фактически, это роль жюри."
"И все же в России есть костяк правильныхлюдей, сколько их, трудно сказать, но не все воры, педофилы и алкоголики.  [коллективный. Форум: Кто он, человек греха, сын погибели? (2012)] [not disambiguated]",p,3130,"Но в России есть основа правильныхлюдей, многие из них, трудно сказать, но не все воры, являются педофилами и алкоголиками."
"И вдруг появляется человек, который тоже просит, но чего-то прямо противоположного.  [Иван Давыдов. Успехи военной реформы // «Русская жизнь», 2012] [not disambiguated]",n,2493,Особенно в России - зависть известного российского и сверхмощного ностальгия strashnayasila.
"Публицисты часто вспоминают пожары 2010 года, когда множество людей вдруг объединились и принялись добровольно и бесплатно помогать погорельцам, да и сами пожары ликвидировать наловчились не хуже МЧС.  [коллективный. 10 поводов для гордости // «Русский репортер», 2012] [not disambiguated]",p,2984,"Публицисты часто эти пожары, 2010, когда много людей неожиданно собрались вместе, и они добровольно и бесплатно помогают погорельцам, а также огни, чтобы устранить наловчились."
