text,sentiment
RT @SlashevaM: Открытие гипермаркета Лента перенесли на 14ое((((едем в Метро. #Лента,negative
я соскучилась уже*(,negative
"как можно сделать, чтобы нетбинс при вызове конструктора, например, new Header( предлагал варианты параметров в скобочках",negative
"Вот пиздец, Баскетбол слажал(\",negative
еще и холодно:(,negative
@VShrike яблочник хуев :-( я тебе планшет дам. У меня инввйты есть. Кто поедет?,negative
пичально,negative
RT @hufaqetivygi: сраный желудок проснулся на полтора часа позже остального организма :(,negative
Как в этом мире тяжело жить (((  #mtvstars Justin Bieber,negative
Джастину \,negative
"а у всех нормально app store фурычит? у меня категория ""музыка"" ващпе открывается пустой( wtf?!??",negative
"флейк штука хорошая, конечно, но две пластинки это перебор... :|",negative
"@pinkdevastator сам диск я за 11$ брала, но у меня ещё за пересылку наценка нефиговая ((",negative
"Ну почему так-то,ты говоришь что он свой,а он как буд-то бы не свой(((",negative
RT @jabudefyhile: что-то я в этих цыферках уже путаюсь :(,negative
"Удачи вам ребят, хорошо выступите, жаль что не приеду :(",negative
"RT @iamcherry_blood: @_letmebeyoursun  omg, жесть(",negative
"гладя как парни ездят по ушам своим ""любимым"" девушкам и как они умело проводят время с другими девушками.я начинаю многому учится в жизни(",negative
ОТЛИЧНЫЙ ДЕНЬ вообще!!!!\,negative
RT @alekseevaanya_: Напишите мне что-нибудь приятное :(,negative
@mope_roka прасти(((проста чета тви тупит,negative
и чешутся украсить квартиру и поставить елку. но вот проблема: елки-то еще не продают(( прийдется подождать,negative
@mariamissy1 я конечно понимаю ты ко мне совсем не торопишься(,negative
RT @rock___angel: @Darya_April обычно:( я соскучилась:3,negative
@kichanova Поодерживают китайских производителей(((,negative
@DOKTOP_KEMOB и так бесконечно \,negative
"так молекула приехала и кмп просит, блин(((",negative
собираюсь на улицу....чувствую приду домой вся мокрая и замёрзшая(,negative
О/\,negative
во главе?...(,negative
RT @kuhycupaxir: уровень medium 7 в bridge construction set хавает мой мозг.. =(,negative
Как же я буду без Дани одна((тяжело ....(,negative
не ответил \,negative
"@Olga305 которую он будет читать хуй знает где. С другой стороны по дойчу задали голимые доклады, я не хочууу(",negative
"RT @vitalich_ololo: Ссать хочу, трека про ислам не будет(",negative
тебя нет рядом((,negative
"@avid_theatergoe ага,да и не поговорили толком;( все,нам с тобой надо назначить встречу!",negative
@fanat686 @ajnastasiya ну вот тебе своих мало землячек (,negative
"желательно , чтобы парень был целиком (:",negative
Мой мозг скоро взорвётся. Как же я устала сегодня(,negative
Появилась девушка - удалил из друзей. Зачем да так делать? Я же не украду тебя у нее. :|,negative
"Жена звонила, говорит опять с бабами, нет говорю опять с твитером :-/",negative
@elinafaith_ а мне Егорка говорил что наказан на долго и ему нельзя гулять:(\,negative
@An_Alaeva @AleksandraJohny я тоже хочу увидеть сиси:(,negative
"@nesoglasnaia У нас тока и делают,что спмсыват и приписывают! Гьюсно:(",negative
Үгүй ер!!!\,negative
Аня травит меня :( я тоже шашлыки хочууу!!,negative
"Работать в субботу плохо,  тратится денег больше чем заработал.  Взял крушовицы и риохи. Жена заругает:(",negative
@Kozerog_polska ПРАВДА????! Какая незадача..............((((((,negative
что-то ты дохуя умный!!\,negative
"страдай и скучай по мне, блять\",negative
На днях такое было((( http://t.co/5h9oBRZUO1,negative
И его непрерывно приходится  делать.:(((\,negative
@antonsemakin у Олега Чиркунова? И его команды? Была знаешь((,negative
"После маминой фразы: -""Не знаю как у деда Мороза, а у меня нет столько денег!"" Я перестала верить в чудеса...(((",negative
ты не расстраивайся все хорошо будет!,negative
За 14 минут дошла с одного конца города до другого пешком. Ноги болят жутко:(,negative
го резать вены!!,negative
Отключили воду(( у меня есть только пол литра воды и дофига алкоголя,negative
"@NadyaChernyavsk у тебя работает? В новостях написано, что только билайн включили лте((",negative
"Просто ДИКО хочется креветок, а зарплаты пока не видно :(",negative
"ну капец, я только есть начала, а тут такие отвратные вещи показывают(",negative
Так приятно всех увидеть :333 любимые :333 не хватает нескольких человек ( самых дорогих мне,negative
"RT @jogeqowecin: Локальное зеркало арча нагнулось, а трафик не анлим =((",negative
"Почему хорошие твиттерские не могут смириться с тем, что у них шикарные мысли? :(",negative
"@TimarinN точно( старею, начинаю забывать( надо бы перечитать",negative
"@Tatyana_Tts да вообще ужас какой то, придумали отмазку, риса у них нет :-( :-(",negative
это не возможно описать на сколько мне скучно!(,negative
"@SimbIblis и хорошо. Было ужасно( распределитесь по самолету , а то не взлетим ...",negative
"@Alina_Gutchenko уже нет, провтыкал я щастье:(",negative
"Стал замечать, что чем больше у тебя безразличия, тем больше тебя любят. Обидно((",negative
"@Kainbek савобмас, кира килудим. Но, сука, яблоко жалко.(",negative
"@Ya_sokolica @mityaazarov К сожалению,БЕЗ ""или"",мне кажется.Для восстановления культуры понадобятся многие десятки лет,даже больше...(((",negative
"сейчас вынуждены сидеть в полиции,тут вообще не огонь и не понятно когда все это закончится(",negative
"как же я не люблю, ругаться с мамой из-за мелочей :(",negative
А какая песня в конце играет божечки(((((((,negative
Вся суть нового года: Люди отмечают конец одного периода и начало другого(,negative
некоторые сложности(((быстрее бы уже новый год,negative
Как ты могла так поступить Подруга.......??? Оно того стоило...? Надеюсь да.... Иначе не прощу.... Никогда..(((,negative
RT @gysagyvaniga: как же все непривычно на маке после многих лет виндовса :-/,negative
"Периодически перегружается сам :( cat /proc/bootreason выдает 32wd_to, sw_rst, pwr_key — в общем полный набор... :(",negative
@polinkaaZag  не очень удачная тренировка (,negative
"Господи, какой я дибил :(\",negative
"@Grapevine_fire не знаю имени( ещё и сайт не открывается этой ебучей техноложки, чтобы посмотреть как зовут.",negative
Просто так...Всё было просто так..А почему тогда мне так больно?!...((....,negative
"Сегодня случилось страшное...очень страшное...настолько страшное, что мне больно говорить об этом...в дошираке не оказалось вилки:(",negative
"RT @siconidezulo: ""О чём говорят мужчины"" — 1.5 часа бесполезно потраченного времени, лучше бы ведро конпелял :(",negative
\,negative
"пиздец у Доместоса лестница хуевая, я кожу на ноге содрала блять :(",negative
"@terotank как всегда(( собралась в театр, а билетов нет((",negative
"О_О Опять Бля сели на шею, и кричат поехали и побыстрее нах*й=(.ППЦ.",negative
Сегодня я выпил всего лишь 1л кофе! Не гоните на меня :(,negative
умираю без шоколада :(\,negative
При дикой нагрузке на процессор KIS начинает блочить входящие соединения BitTorrent с отмазой SYN flood. :(,negative
Без тренировок так скучно;( когда же Тренер приедет;((,negative
капец(((Ни минуты спокойной...почему я всем сегодня нужна?,negative
"привет всем, кого еще увидишь. Очень жалею, что не попал :(",negative
RT @kycademucyti: Завтра же слюножницы выходят! Последняя серия. :(,negative
получаем интернет по usb с компьютера на android ( http://t.co/tKQKebpJwn,negative
"вышел из ванной и осознал, что я замёрз. ((-8",negative
"Как я завидую моим чипушилам!они сладко спят после веселой ночки,а я уже с 8 на ногах:(",negative
"Если верить картинке из поста  , то я — шалава. =(",negative
Как я хочу послать эту Аналитическую Геометрию! Аж слов нет :(,negative
"Доброе, вот это нежданчик! теперь мне плохо((",negative
"RT @dajosuvuvir: Хочу научиться играть в доту, доту2 и старик :(((",negative
"RT @nikufemugyp: Ну зашибись, #iRiver T9 с сентября лежал в сумке, разрядился и отказывается заряжаться. Даже от более мощного БП :(.",negative
"Самая охуенная ночь, к сожалению, закончилась...(",negative
ну всё..заболела((\,negative
"Становится страшно,когда гугл на запрос информации по теме диплома одной из первых ссылок выдает твою же статью:(",negative
"Это были дни лихорадочного труда, но цель оправдывала усилия. /:-( #TeamFollowback",negative
RT @zybyveduqig: Смог подключить услугу продления скорости O_o. Наверно у них какие-то сбои в работе были т.к. сервис-гид с утра через раз,negative
RT @XOP_XOP: а унитазы ппц..стали делать...ну...4е я ток не делаю порой(,negative
Всем доброе утро!!!!! Как ваше настроение? Как вы спали? Сегодня будет опять пасмурно(((((((,negative
Эх ровно год назад я была на Тфк((( плачуреву,negative
RT @gapikypihud: Похоже единственным способом дебага 100000-строчго JS остается длительный вдумчивый взгляд :(,negative
"Я просто не думаю, их головы в нем. =( #INSTANTFOLLOWBACK",negative
Жаль лишь то что качество видео дерьмовое. Всего 360р(((,negative
@Snastya666 знаю((( очень буду стараться к НГ созвониться и напроситься,negative
"10-минутный ролик в 360р грузится 20 минут :( Интересно, я когда-нибудь смогу нормально смотреть потоковое видео?",negative
"@Yambeestar Если пишешь то, что думаешь про Евромайдан, то ты - российский тролль :( @Chekash_",negative
"Время-то уже обед! А я, поскольку Федора еще ставится, остался без мультика :-(",negative
"RT @nydupagaro: Иногда, при изучении нового для тебя языка, понимаешь, как мало ты понимаешь ( А вобще, наверное плохо знать похожие язык",negative
"Я старушка((( У меня так болит спина,причем современном не понятно от чего((",negative
"RT @xadodigyh: Странная штука жизнь - вроде затрахала, а не удовлетворяет(( 0 http://t.co/37emJMPB67",negative
но ита ни правда(((((((99999,negative
@Timakovaaaa ты хоть в понедельник придёшь?:(,negative
((\,negative
"@mrNobodyForAll ,блин, походу везде такие дорогие( в России просто вполне хорошую можно до миллиона купить запросто(",negative
"Отдала папе, чтоб починил",negative
"после двухчасовых плясок вокруг gscan2pdf плюнула, и запустила CutePDF с винды =(. пойду мучать убунту дальше...",negative
"""@dkrasnov: @aavst вы тоже заболели? :("" Я? После такой выпивки?",negative
"RT @avenataash: Через полгода мне будет 17, а через полтора уже 18. Я такая старая уже (((",negative
НЕ ИГНАРЬТЕ ПЖАЛКИ(99((9((99 http://t.co/ef34fASwa4,negative
"ёлки, и меня матушка только что с днём программиста поздравила o_O",negative
"Пилять, ну дайте мне инвайт на Хабр, плиз. А то я каждый раз стесняюсь из-под женского ника писать. :(",negative
RT @silverbleis: @konda_kun девочек маленьких :(,negative
из коридора тянет пельменями... До обеда ещё 40 минут :((((,negative
Для меня ты всегда жив!\,negative
@adina0612 я разрываюсь между двумя желаниями :( и не могу выбрать\,negative
"Р.В сказал,что с утра будет самостоятельная,ну капец! Что с ним происходит?? Злой постоянно:(",negative
всегда так делаю бля ((((99( http://t.co/OpRRtx0txV,negative
Всегда мечтала ей стать :( http://t.co/Pzzy9TNi99,negative
@mashushnik НОТ(( УЕЗЖАЮ В МУХОСРАНСК К БАБУШКЕ САДИТЬ МОРКОВКУ И КУКУРУЗУ,negative
"чем мне родственники не нра — вот только начну писать что то, мысля равзвивается — приходят и обламывают((",negative
"Я, кстати, летом ни разу на вальсе не прокатилась :( http://t.co/n1zZtC3ccW",negative
Жесткий диск 2Tb Western Digital WD20EARS Caviar Green как же ты большой и как медленный(,negative
"Тоша сказал что бы я ходила в вязанных варежках потому что они теплые, но они огромные и я не хочу(",negative
"@olezhamoodaq не тралируй меня,пожалуйста:(( я тебе в монополии помогала:((((",negative
RT @bubkin99: На пати бы( http://t.co/LqxNSZp330,negative
"ах да, буду учить уроки!\",negative
Кто-нибудь мог вам что-то сказать. /:-( #ff,negative
"карту взяла,а деньги взять забыла,пиздец.\",negative
-как ты?-...отлично..-а что с голосом?-..всё отлично!...-мы ещё вместе?-..мы только рядом.( #ЧитайМеняАяТебя,negative
Но не судьба. У нее две пары до 13:15 а у меня три до 14:55(((,negative
"@_believer_ только зашла в нет новости почитать,и на тебе... бедный-бедный Ларс :(",negative
@russkix__2013 По мне и то так не скучаешь:(,negative
Хочу вернуть время назад.. Эти 20 дней в Греции..(,negative
"Через веб-сайт ибея все ок, а вот приложение для айпада у них кривое, там этого нет;0(",negative
RT @zejavariqape: нехорошо весна началась :(,negative
никому не нравится мое оформление все ясно(,negative
"больше никогда не буду заказывать в инете ничо, все нервы вымотали((",negative
надеюсь когда нибудь я пойму как он называется,negative
у меня какая то фигня с твиттером . не могу нормально загрузить фон . ((((,negative
"@bportcom Надо констатировать тот факт, что в городе нет площади, на которой можно было бы разместить такое мощное сооружение и ТАКОЙ ШУМ!?(",negative
"мало того что мое утро началось с кошмара ,так еще и я не ела вообще ничего (((",negative
"Если бы это был только сифилис, ему бы не стало хуже. :_( #TeamFollowback",negative
"Спасибо #spartak ! Уходим довольные на перерыв, эх, теперь до марта ждать ;(",negative
"У меня мечта есть — проснуться в выходные и чтоб меня никто не трогал, позалипать в фильмы, пострадать хуйней. Несбыточная, к сожалению :(",negative
типичная вечеринка в Майами \,negative
кто со мной сегодня на каток пойдет в 18:00? Мне правда не с кем(,negative
#неожиданныйповорот,negative
"к сожалению,обстоятельства сложились так,Симба из приюта вновь ищет хозяев(((( Увы, рано мы порадовались !!",negative
"@GrishaKotlubey тогда мне стоит лишь пожелать,чтобы у вас там все наладилось.плохо,когда плохие отношения в семье(",negative
Сижу сейчас у своей сестры в школе. Блиин им так мало задают((,negative
"Заебалась, настраиваю этот гребаный wifi уже час, голова болит. Почему я блин вечно всё устанавливаю и собираю, ну почему????(((",negative
Ты как милый? :З,negative
RT @katerinanews: @xoxa32 @CIO_Optimal супер,negative
\,negative
я\,negative
"@Dascharaffe я не виновата,она сама вообще-то :(",negative
"Как же я хочу, чтоб мой были слово вместе:(",negative
Не радует погода меня(((( http://t.co/r2CJ0G2pB8,negative
"@wmk2u @Alexey_Pushkov а экстремизм власти допустИм ??Депутатам З/П 400тыс.р.,а пенс.прибав. 300р. это КАК ???понимать,что ещё  объяснять ((",negative
"Завтра конкурс , а я так ничего и не выучила(",negative
"Почти весь день называю своего кота Анжелкой, мама думает,что я совсем  больная :(",negative
Я усталааааа очень. Но исп никто не отменял :(,negative
@yulia_horan69 незнаю( ненавижу таких. Вот так вот быть добрым.,negative
"@grettulja Heute war echt #geiler Tag mit #Dir !!❤☺ Leider ist катя weg! :( @wannafunk13 Грета и Я скучаем!❤❤❤ Я думаю, что это правильно!",negative
А в живую это наверно страх полный(((,negative
Кто-то тут явно лишний!!!(( #биатлон #друзья #ЛюблюНорвегию http://t.co/jaPasaW3s4,negative
"С плохим зрением очень неудобно быть Волдемортом: каждое утро приходится очки ""Моментом"" приклеивать на переносицу. :(",negative
"На работе назначили командиром поста радиационного, химического и биологического наблюдения,   о_О",negative
"Бесит меня все! Нафиг я пошла на архитектуру?! Ничего не получается: ни рисовать, ни чертить, ни клеить ;(",negative
"погода ужасная, почитать нечего, завтра на работу (((((",negative
"я лах, но не на столько же :-(",negative
"@azilyshkaaa не случайно. я специально написала, чтобы тебе приятно было :(",negative
Смотрю видео про памьять Полу Уокеру\,negative
"ВСЕ СОЖРАЛА ,ЧТО МАМА ОСТАВЛЯЛА:((\",negative
Армении в Таможенный союз будет подписана в декабре - Первый канал http://t.co/zOAWVojcsi с помощью @twitterapi  - бедная Армения =(,negative
Еще это сраное письмо учить на завтра :(( http://t.co/VNSl2caNYc,negative
Кажется у меня опять проблемы..надо срочно худеть еще и перед Др ((( ебаная нахуй еда !!;!!,negative
"@anya_miy @viazghina а нам к 0 паре,к 7 часам,боль :(",negative
"@imerkouri @IsadoraLenochka Недоедает, бедный. Колбаски хоть дайте человеку..(",negative
"Хочу, чтобы графический планшетик скорее пришел( \",negative
@Rover_Jonson ну хуй знает я хотела поржать а ты видимо нет пхаха пойду плакать шутка не удаласб(((((,negative
страшнее всего безответная любовь к тебе!когда ты любишь а он делает вид что ты просто не существуешь!( http://t.co/NXE6HAMYI2,negative
Эти 3 недели я ничего не выставляла потому что у меня был разломан на куски айфон(( но сегодня я все склеела и я снова в сети!!!,negative
Я его и не увидела бля(( \,negative
"Блин, как же башка кипит от попыток вписать функционал в кривую структуру... Так хочется выкинуть все и написать заново:(",negative
@nastya_adm0109 знал бы я сам;(\,negative
"Выходные пролетели, словно их и не было. Завтра понедельник и это пИчаль(",negative
"RT @CEKC_TYT: @to_over_kill когда мы его проходили, весь класс сказал, что они Обломовы и перед каждым уроком орали ЗАХАААР ЗАХАААР",negative
мразь знает на что давить  ((,negative
"Чиорт, в четверг к стоматологу. Страшно :(",negative
"@nimrodiwe тожее, а еще я чешусь из-за сраной аллергии(",negative
@nyanyaa_katenka Стыдно в будущем знакомить с родителями таких :(,negative
RT @naran_official: Завтра понедельник снова :( http://t.co/FDqh5LMrqd”,negative
"мда...вроде все хорошо, а настроение никакое(",negative
"Не наигранно это, лол",negative
Я стала напевать\,negative
"@Genes1s_ @levaps Ничего я не отбираю, кроме резиновых браслетиков : и то сам @levaps отдал :|",negative
@parkerka3 я скучаю. может будем снова дружить?(((,negative
"Весь день болит палец, выбитый 4 года назад((грусть пичаль",negative
запостил результаты своего ковыряния в ядре в ЖЖ ( (,negative
@AizGura @zajka00001 и почему я пежон? :(,negative
RT @zonuhisylibe: LastFMSubmit кажется окончательно поломался((,negative
"Ай, пофиг, всё равно это будет неделя недосыпаний;(",negative
"вот они — проблемы современного мира. кончилось бабло за интернет, а 3d security со стороны моего банка как-то лежит :(",negative
ну тогда я думаю ты умрешь ;(,negative
А вслед за IE9 — рекламу World of Warcraft o_O,negative
"Нихренасебе помылся. Пришел к компу, а жукобот навалил овер 40 сообщений. о_О",negative
"@Cya9idSun я не понимаю о чем-ты :( возможно, потому что я тупой",negative
ааааааааааа не выспалась((((((((((\,negative
"Сдохла венда на десткопе. Музыки на ноуте нет. Теперь я понимаю трушность ластфма, но вот платить за него. :(",negative
Даня заболел :( каждый день что-то случается....,negative
Аааааа(( *рыдающий смайл,negative
Я так ждала надеяоась и верила((( борщ не полетел в страшную мордашку Эли(((,negative
На хабре серьезно обсуждается гуглбомба (,negative
"не кого так не любил,я только с тобой понил что такое любовь""куда оно делось всё,эх(( http://t.co/nwWGAoSOAz",negative
"@Leonid_Roshal Спасибо Доктор, хоть Вы помните! Да я помню тот Госпиталь на стадионе и все поле заставленное гробами..((",negative
"RT @KomaNellya: Двух предложений мало, чтобы описать моё разочарование :(",negative
"ну, почему? Почему мне предлагают британского плюшевого котенка сейчас, когда у меня уже есть Сонька?! :(",negative
Ну почему у меня голос не как у Тэйлор Момсен(,negative
"RT @vygymajeqiko: Иду вдоль родительского дома, слева стоянка. Машина, машина, машина, асфальтоукладочный каток, машина ... o_O",negative
Всю ночь писать дипломку-это ад(\,negative
"Я надеялась, что нам будут транслировать все мероприятие. Ну что за облом :(",negative
бля да почему у меня вместо символов знаки вопроса((и почему удалили мой нормальный статус?!,negative
6.27\,negative
"Проводили опыты на химии,за проверочную,наверное три((\",negative
@Efemernaya я скучаю по нему(( минут через 40!,negative
"Переводчик Google ""Лучшая покупка: Откройте рот, вставить ноги — ""Vista не работает"" (",negative
"Это самое худшее , что могло появиться в моей жизни ((((",negative
"англичанка угрожает нам уборщицой, нам не жить((",negative
кажется меня сегодня дома убьют... ну не умею я гавкать на обслуживающий персонал. пинать его ногами. не умею. :(,negative
Хуль лента игнорить начала со вчерашнего дня(((((((((((((((,negative
"RT @bacegomanuda: так как у кошки теперь больше нет нычек, у нас появилась ежедневная обязанность по 40 минут играть с кошкой :(",negative
@escada1206 в школу иду:( выздоравливай с:,negative
что я буду там делать? :С,negative
Сегодня начинается самая жуткая неделя за весь семестр. Учеба. Да и с работой завал. Зря проснулась( Хоть бы выжить!,negative
@yuri_asakura_ ломай окно и беги.хотя высоковато будет:(,negative
"к кому то праздник приходит, а к кому-то пиздец, под названием СЕССИЯ((",negative
мля и провод перетерся на наушниках около джека — надо будет купить и перепаять :(,negative
"RT @blaaainee: мне так и не показали, что мне тогда Курт с головой сделал (",negative
"хотя если б они вились божественно, как у @firsing http://t.co/7P7YchiKUt …\",negative
"Сегодня дома, в школу не пошла, животик очень болит...:-( :-( :-( :-( :-(",negative
Ненавижу это! Только не гайморит! Что я сделала не так в этой жизни?(((((,negative
У меня перестали воспроизводиться фильмы!( Что делать?,negative
RT @gyfemykiryzy: Надо было в   написать ещё что на аватарках у девушек голова не покрыта платком :( хотя какая там голова... на этих авата,negative
и самое печальное на сегодня: осталось 13 дней((,negative
"Нужна ли тебе ёлка на новый год? — да, но из-за малой не будет( http://t.co/S8M7QGF3gs",negative
"@ne_o_chom я тоже. Надо срочно делать реформы в твиттере. А то же никто не знает истинное значения слово ""твит"" :-( :-( :-(",negative
RT @Do_Or_Die_xxx: @peacemaker_21 доброе утро :3,negative
"RT @Novoselova_: Всех могу свести, только попроси, а у самой как то не получается(",negative
"Хотел отправить фотографию, бот сказал, что только через носки :-(",negative
RT @Pavluntig: Ну вот. Теперь эти замечательные три дня  закончились =(\,negative
@tutanxomon эх(((((((((( воспоминаньяяяя(((((,negative
RT @mypokunoned: Аааааа... меня   не пустил в вайт лист :(,negative
"Никогда не думала, что учителя плачут. Но жизнь не договор, и в нее не пропишешь пункт о форс-мажоре. :(",negative
@boshanova потому что я делал английский:(,negative
"По треккоду посылка в отделении. Прихожу, стою 30 мин. Говорят приходи завтра послезавтра, разобрать не успели ещё. @russianpost :(",negative
"Чёрт, я опять опаздал... Уже не помню, когда приходил на работу вовремя..(",negative
"RT @kytotepemij: Интересно — в 3G к icq qip прекрасно подключается, по wifi нет :(",negative
"@oagdsss я сейчас на Луне, и мне надо отправляется в ад :(",negative
выздоравливай:3,negative
"Жаберы плохие, опять не доставили мне один Жуйкодень((",negative
